	icd9_code	short_title	long_title	count
0	4019	Hypertension NOS	Unspecified essential hypertension	20703
1	4280	CHF NOS	Congestive heart failure, unspecified	13111
2	42731	Atrial fibrillation	Atrial fibrillation	12891
3	41401	Crnry athrscl natve vssl	Coronary atherosclerosis of native coronary artery	12429
4	5849	Acute kidney failure NOS	Acute kidney failure, unspecified	9119
5	25000	DMII wo cmp nt st uncntr	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled	9058
6	2724	Hyperlipidemia NEC/NOS	Other and unspecified hyperlipidemia	8690
7	51881	Acute respiratry failure	Acute respiratory failure	7497
8	5990	Urin tract infection NOS	Urinary tract infection, site not specified	6555
9	53081	Esophageal reflux	Esophageal reflux	6326
10	2720	Pure hypercholesterolem	Pure hypercholesterolemia	5930
11	V053	Need prphyl vc vrl hepat	Need for prophylactic vaccination and inoculation against viral hepatitis	5779
12	V290	NB obsrv suspct infect	Observation for suspected infectious condition	5519
13	2859	Anemia NOS	Anemia, unspecified	5406
14	2449	Hypothyroidism NOS	Unspecified acquired hypothyroidism	4917
15	486	Pneumonia, organism NOS	Pneumonia, organism unspecified	4839
16	2851	Ac posthemorrhag anemia	Acute posthemorrhagic anemia	4552
17	2762	Acidosis	Acidosis	4528
18	496	Chr airway obstruct NEC	Chronic airway obstruction, not elsewhere classified	4431
19	99592	Severe sepsis	Severe sepsis	3912
20	V5861	Long-term use anticoagul	Long-term (current) use of anticoagulants	3806
21	0389	Septicemia NOS	Unspecified septicemia	3725
22	5070	Food/vomit pneumonitis	Pneumonitis due to inhalation of food or vomitus	3680
23	V3000	Single lb in-hosp w/o cs	Single liveborn, born in hospital, delivered without mention of cesarean section	3566
24	5859	Chronic kidney dis NOS	Chronic kidney disease, unspecified	3435
25	311	Depressive disorder NEC	Depressive disorder, not elsewhere classified	3431
26	40390	Hy kid NOS w cr kid I-IV	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified	3421
27	3051	Tobacco use disorder	Tobacco use disorder	3358
28	412	Old myocardial infarct	Old myocardial infarction	3278
29	2875	Thrombocytopenia NOS	Thrombocytopenia, unspecified	3065
30	V4581	Aortocoronary bypass	Aortocoronary bypass status	3056
31	41071	Subendo infarct, initial	Subendocardial infarction, initial episode of care	3055
32	2761	Hyposmolality	Hyposmolality and/or hyponatremia	3039
33	4240	Mitral valve disorder	Mitral valve disorders	2926
34	V1582	History of tobacco use	Personal history of tobacco use	2811
35	V3001	Single lb in-hosp w cs	Single liveborn, born in hospital, delivered by cesarean section	2758
36	5119	Pleural effusion NOS	Unspecified pleural effusion	2734
37	V4582	Status-post ptca	Percutaneous transluminal coronary angioplasty status	2725
38	40391	Hyp kid NOS w cr kid V	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease	2630
39	78552	Septic shock	Septic shock	2586
40	4241	Aortic valve disorder	Aortic valve disorders	2550
41	V5867	Long-term use of insulin	Long-term (current) use of insulin	2538
42	42789	Cardiac dysrhythmias NEC	Other specified cardiac dysrhythmias	2453
43	32723	Obstructive sleep apnea	Obstructive sleep apnea (adult)(pediatric)	2380
44	9971	Surg compl-heart	Cardiac complications, not elsewhere classified	2343
45	5845	Ac kidny fail, tubr necr	Acute kidney failure with lesion of tubular necrosis	2287
46	2760	Hyperosmolality	Hyperosmolality and/or hypernatremia	2272
47	7742	Neonat jaund preterm del	Neonatal jaundice associated with preterm delivery	2264
48	49390	Asthma NOS	Asthma, unspecified type, unspecified	2195
49	2767	Hyperpotassemia	Hyperpotassemia	2169
50	5180	Pulmonary collapse	Pulmonary collapse	2165
51	4168	Chr pulmon heart dis NEC	Other chronic pulmonary heart diseases	2148
52	45829	Iatrogenc hypotnsion NEC	Other iatrogenic hypotension	2121
53	2749	Gout NOS	Gout, unspecified	2082
54	4589	Hypotension NOS	Hypotension, unspecified	2051
55	V502	Routine circumcision	Routine or ritual circumcision	2016
56	73300	Osteoporosis NOS	Osteoporosis, unspecified	1947
57	78039	Convulsions NEC	Other convulsions	1934
58	5856	End stage renal disease	End stage renal disease	1926
59	4271	Parox ventric tachycard	Paroxysmal ventricular tachycardia	1811
60	5185			1807
61	4254	Prim cardiomyopathy NEC	Other primary cardiomyopathies	1709
62	4111	Intermed coronary synd	Intermediate coronary syndrome	1663
63	V1251	Hx-ven thrombosis/embols	Personal history of venous thrombosis and embolism	1612
64	3572	Neuropathy in diabetes	Polyneuropathy in diabetes	1584
65	30000	Anxiety state NOS	Anxiety state, unspecified	1580
66	99811	Hemorrhage complic proc	Hemorrhage complicating a procedure	1535
67	27800	Obesity NOS	Obesity, unspecified	1511
68	E8798	Abn react-procedure NEC	Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	1502
69	41400	Cor ath unsp vsl ntv/gft	Coronary atherosclerosis of unspecified type of vessel, native or graft	1494
70	60000	BPH w/o urinary obs/LUTS	Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)	1490
71	7907	Bacteremia	Bacteremia	1478
72	2930	Delirium d/t other cond	Delirium due to conditions classified elsewhere	1445
73	00845	Int inf clstrdium dfcile	Intestinal infection due to Clostridium difficile	1444
74	2768	Hypopotassemia	Hypopotassemia	1425
75	4439	Periph vascular dis NOS	Peripheral vascular disease, unspecified	1401
76	5789	Gastrointest hemorr NOS	Hemorrhage of gastrointestinal tract, unspecified	1397
77	V4501	Status cardiac pacemaker	Cardiac pacemaker in situ	1390
78	27651	Dehydration	Dehydration	1385
79	28521	Anemia in chr kidney dis	Anemia in chronic kidney disease	1384
80	27652	Hypovolemia	Hypovolemia	1374
81	431	Intracerebral hemorrhage	Intracerebral hemorrhage	1367
82	4275	Cardiac arrest	Cardiac arrest	1361
83	E8788	Abn react-surg proc NEC	Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation	1350
84	2765			1348
85	V4986	Do not resusctate status	Do not resuscitate status	1327
86	769	Respiratory distress syn	Respiratory distress syndrome in newborn	1314
87	79902	Hypoxemia	Hypoxemia	1298
88	70703	Pressure ulcer, low back	Pressure ulcer, lower back	1289
89	5715	Cirrhosis of liver NOS	Cirrhosis of liver without mention of alcohol	1287
90	V103	Hx of breast malignancy	Personal history of malignant neoplasm of breast	1277
91	99591	Sepsis	Sepsis	1272
92	2639	Protein-cal malnutr NOS	Unspecified protein-calorie malnutrition	1259
93	42832	Chr diastolic hrt fail	Chronic diastolic heart failure	1240
94	99812	Hematoma complic proc	Hematoma complicating a procedure	1224
95	42833	Ac on chr diast hrt fail	Acute on chronic diastolic heart failure	1220
96	07054	Chrnc hpt C wo hpat coma	Chronic hepatitis C without mention of hepatic coma	1218
97	42732	Atrial flutter	Atrial flutter	1217
98	E8782	Abn react-anastom/graft	Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation	1211
99	V1046	Hx-prostatic malignancy	Personal history of malignant neoplasm of prostate	1207
100	5712	Alcohol cirrhosis liver	Alcoholic cirrhosis of liver	1202
101	49121	Obs chr bronc w(ac) exac	Obstructive chronic bronchitis with (acute) exacerbation	1198
102	99859	Other postop infection	Other postoperative infection	1186
103	2809	Iron defic anemia NOS	Iron deficiency anemia, unspecified	1171
104	27801	Morbid obesity	Morbid obesity	1170
105	78551	Cardiogenic shock	Cardiogenic shock	1154
106	42823	Ac on chr syst hrt fail	Acute on chronic systolic heart failure	1143
107	25060	DMII neuro nt st uncntrl	Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled	1138
108	2948	Mental disor NEC oth dis	Other persistent mental disorders due to conditions classified elsewhere	1126
109	3004	Dysthymic disorder	Dysthymic disorder	1109
110	4139	Angina pectoris NEC/NOS	Other and unspecified angina pectoris	1100
111	42822	Chr systolic hrt failure	Chronic systolic heart failure	1097
112	28529	Anemia-other chronic dis	Anemia of other chronic disease	1093
113	5601	Paralytic ileus	Paralytic ileus	1072
114	V1254	Hx TIA/stroke w/o resid	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits	1072
115	7793			1068
116	570	Acute necrosis of liver	Acute and subacute necrosis of liver	1067
117	78791	Diarrhea	Diarrhea	1049
118	77081	Primary apnea of newborn	Primary apnea of newborn	1043
119	E8497	Accid in resident instit	Accidents occurring in residential institution	1039
120	78820	Retention urine NOS	Retention of urine, unspecified	1020
121	V667	Encountr palliative care	Encounter for palliative care	1020
122	2869	Coagulat defect NEC/NOS	Other and unspecified coagulation defects	1016
123	2800	Chr blood loss anemia	Iron deficiency anemia secondary to blood loss (chronic)	1012
124	5723	Portal hypertension	Portal hypertension	1007
125	V3101	Twin-mate lb-in hos w cs	Twin birth, mate liveborn, born in hospital, delivered by cesarean section	1000
126	E8889	Fall NOS	Unspecified fall	997
127	79092	Abnrml coagultion prfile	Abnormal coagulation profile	994
128	2763	Alkalosis	Alkalosis	984
129	78959	Ascites NEC	Other ascites	978
130	3485	Cerebral edema	Cerebral edema	978
131	30500	Alcohol abuse-unspec	Alcohol abuse, unspecified	977
132	34590	Epilep NOS w/o intr epil	Epilepsy, unspecified, without mention of intractable epilepsy	977
133	0414			967
134	5770	Acute pancreatitis	Acute pancreatitis	961
135	25040	DMII renl nt st uncntrld	Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled	954
136	99662	React-oth vasc dev/graft	Infection and inflammatory reaction due to other vascular device, implant, and graft	950
137	9982	Accidental op laceration	Accidental puncture or laceration during a procedure, not elsewhere classified	929
138	76518	Preterm NEC 2000-2499g	Other preterm infants, 2,000-2,499 grams	924
139	V5865	Long-term use steroids	Long-term (current) use of steroids	893
140	71590	Osteoarthros NOS-unspec	Osteoarthrosis, unspecified whether generalized or localized, site unspecified	891
141	76527	33-34 comp wks gestation	33-34 completed weeks of gestation	881
142	36201	Diabetic retinopathy NOS	Background diabetic retinopathy	875
143	76528	35-36 comp wks gestation	35-36 completed weeks of gestation	874
144	4148	Chr ischemic hrt dis NEC	Other specified forms of chronic ischemic heart disease	865
145	41519	Pulm embol/infarct NEC	Other pulmonary embolism and infarction	859
146	28860	Leukocytosis NOS	Leukocytosis, unspecified	856
147	56210	Dvrtclo colon w/o hmrhg	Diverticulosis of colon (without mention of hemorrhage)	849
148	1985	Secondary malig neo bone	Secondary malignant neoplasm of bone and bone marrow	843
149	43310	Ocl crtd art wo infrct	Occlusion and stenosis of carotid artery without mention of cerebral infarction	833
150	56400	Constipation NOS	Constipation, unspecified	830
151	V4365	Joint replaced knee	Knee joint replacement	816
152	29181	Alcohol withdrawal	Alcohol withdrawal	812
153	42830	Diastolc hrt failure NOS	Diastolic heart failure, unspecified	800
154	V4364	Joint replaced hip	Hip joint replacement	800
155	1977	Second malig neo liver	Malignant neoplasm of liver, secondary	794
156	48241	Meth sus pneum d/t Staph	Methicillin susceptible pneumonia due to Staphylococcus aureus	789
157	5121	Iatrogenic pneumothorax	Iatrogenic pneumothorax	786
158	3970	Tricuspid valve disease	Diseases of tricuspid valve	779
159	V1005	Hx of colonic malignancy	Personal history of malignant neoplasm of large intestine	771
160	1983	Sec mal neo brain/spine	Secondary malignant neoplasm of brain and spinal cord	767
161	51882	Other pulmonary insuff	Other pulmonary insufficiency, not elsewhere classified	761
162	9974			760
163	1970	Secondary malig neo lung	Secondary malignant neoplasm of lung	754
164	7706	NB transitory tachypnea	Transitory tachypnea of newborn	754
165	49320	Chronic obst asthma NOS	Chronic obstructive asthma, unspecified	752
166	76519	Preterm NEC 2500+g	Other preterm infants, 2,500 grams and over	744
167	5853	Chr kidney dis stage III	Chronic kidney disease, Stage III (moderate)	735
168	V4502	Status autm crd dfbrltr	Automatic implantable cardiac defibrillator in situ	733
169	6826	Cellulitis of leg	Cellulitis and abscess of leg, except foot	732
170	43491	Crbl art ocl NOS w infrc	Cerebral artery occlusion, unspecified with cerebral infarction	731
171	30391	Alcoh dep NEC/NOS-contin	Other and unspecified alcohol dependence, continuous	719
172	3659	Glaucoma NOS	Unspecified glaucoma	711
173	3484	Compression of brain	Compression of brain	711
174	E8781	Abn react-artif implant	Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation	707
175	E8859	Fall from slipping NEC	Fall from other slipping, tripping, or stumbling	704
176	V173	Fam hx-ischem heart dis	Family history of ischemic heart disease	703
177	04111	Mth sus Stph aur els/NOS	Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site	703
178	V153	Hx of irradiation	Personal history of irradiation, presenting hazards to health	695
179	51889	Other lung disease NEC	Other diseases of lung, not elsewhere classified	694
180	33829	Chronic pain NEC	Other chronic pain	692
181	5781	Blood in stool	Blood in stool	690
182	E9342	Adv eff anticoagulants	Anticoagulants causing adverse effects in therapeutic use	685
183	51884	Acute & chronc resp fail	Acute and chronic respiratory failure	684
184	5939	Renal & ureteral dis NOS	Unspecified disorder of kidney and ureter	679
185	V433	Heart valve replac NEC	Heart valve replaced by other means	679
186	07070	Hpt C w/o hepat coma NOS	Unspecified viral hepatitis C without hepatic coma	674
187	34830	Encephalopathy NOS	Encephalopathy, unspecified	674
188	7455	Secundum atrial sept def	Ostium secundum type atrial septal defect	668
189	5722	Hepatic encephalopathy	Hepatic encephalopathy	666
190	5533	Diaphragmatic hernia	Diaphragmatic hernia without mention of obstruction or gangrene	663
191	5761	Cholangitis	Cholangitis	662
192	4414	Abdom aortic aneurysm	Abdominal aneurysm without mention of rupture	660
