	icd9_code	short_title	long_title	icd_level2	level2_title	icd_level4	title
0	01166	TB pneumonia-oth test	Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	011	Infectious And Parasitic Diseases	0116	TB pneumonia-oth test Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
1	01170	TB pneumothorax-unspec	Tuberculous pneumothorax, unspecified	011	Infectious And Parasitic Diseases	0117	TB pneumothorax-unspec Tuberculous pneumothorax, unspecified
2	01171	TB pneumothorax-no exam	Tuberculous pneumothorax, bacteriological or histological examination not done	011	Infectious And Parasitic Diseases	0117	TB pneumothorax-no exam Tuberculous pneumothorax, bacteriological or histological examination not done
3	01172	TB pneumothorx-exam unkn	Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)	011	Infectious And Parasitic Diseases	0117	TB pneumothorx-exam unkn Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)
4	01173	TB pneumothorax-micro dx	Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy	011	Infectious And Parasitic Diseases	0117	TB pneumothorax-micro dx Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy
5	01174	TB pneumothorax-cult dx	Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	011	Infectious And Parasitic Diseases	0117	TB pneumothorax-cult dx Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
6	01175	TB pneumothorax-histo dx	Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	011	Infectious And Parasitic Diseases	0117	TB pneumothorax-histo dx Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
7	01176	TB pneumothorax-oth test	Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	011	Infectious And Parasitic Diseases	0117	TB pneumothorax-oth test Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
8	01180	Pulmonary TB NEC-unspec	Other specified pulmonary tuberculosis, unspecified	011	Infectious And Parasitic Diseases	0118	Pulmonary TB NEC-unspec Other specified pulmonary tuberculosis, unspecified
9	01181	Pulmonary TB NEC-no exam	Other specified pulmonary tuberculosis, bacteriological or histological examination not done	011	Infectious And Parasitic Diseases	0118	Pulmonary TB NEC-no exam Other specified pulmonary tuberculosis, bacteriological or histological examination not done
10	01182	Pulmon TB NEC-exam unkn	Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)	011	Infectious And Parasitic Diseases	0118	Pulmon TB NEC-exam unkn Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)
11	01183	Pulmon TB NEC-micro dx	Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy	011	Infectious And Parasitic Diseases	0118	Pulmon TB NEC-micro dx Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy
12	01184	Pulmon TB NEC-cult dx	Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	011	Infectious And Parasitic Diseases	0118	Pulmon TB NEC-cult dx Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
13	01185	Pulmon TB NEC-histo dx	Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	011	Infectious And Parasitic Diseases	0118	Pulmon TB NEC-histo dx Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
14	01186	Pulmon TB NEC-oth test	Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	011	Infectious And Parasitic Diseases	0118	Pulmon TB NEC-oth test Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
15	01190	Pulmonary TB NOS-unspec	Pulmonary tuberculosis, unspecified, unspecified	011	Infectious And Parasitic Diseases	0119	Pulmonary TB NOS-unspec Pulmonary tuberculosis, unspecified, unspecified
16	01191	Pulmonary TB NOS-no exam	Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done	011	Infectious And Parasitic Diseases	0119	Pulmonary TB NOS-no exam Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done
17	01192	Pulmon TB NOS-exam unkn	Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)	011	Infectious And Parasitic Diseases	0119	Pulmon TB NOS-exam unkn Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)
